user_id,action,action_start,answer
ce531b23-b3e7-44f0-a586-ca87ad130a3e,postal_code,2025-04-27 23:43:54.419794,34165
ce531b23-b3e7-44f0-a586-ca87ad130a3e,vehicle_type,2025-04-27 23:44:01.419794,Motorcycle
ce531b23-b3e7-44f0-a586-ca87ad130a3e,make,2025-04-27 23:44:11.419794,BMW
ce531b23-b3e7-44f0-a586-ca87ad130a3e,year,2025-04-27 23:44:21.419794,1998
ce531b23-b3e7-44f0-a586-ca87ad130a3e,mileage,2025-04-27 23:44:31.419794,70413
ce531b23-b3e7-44f0-a586-ca87ad130a3e,motorcycle_style,2025-04-27 23:44:40.419794,Off-road
5ba49c16-1c58-4992-b80c-50b1c56e2b27,postal_code,2025-04-27 23:43:54.419794,17493
5ba49c16-1c58-4992-b80c-50b1c56e2b27,vehicle_type,2025-04-27 23:44:04.419794,Car
5ba49c16-1c58-4992-b80c-50b1c56e2b27,make,2025-04-27 23:44:09.419794,Ford
5ba49c16-1c58-4992-b80c-50b1c56e2b27,year,2025-04-27 23:44:19.419794,2000
5ba49c16-1c58-4992-b80c-50b1c56e2b27,mileage,2025-04-27 23:44:26.419794,101576
5ba49c16-1c58-4992-b80c-50b1c56e2b27,model,2025-04-27 23:44:31.419794,Model S
ad59f0f3-7ec2-455c-b67c-a9777e56d796,postal_code,2025-04-27 23:43:54.419794,20200
ad59f0f3-7ec2-455c-b67c-a9777e56d796,vehicle_type,2025-04-27 23:44:01.419794,Truck
ad59f0f3-7ec2-455c-b67c-a9777e56d796,make,2025-04-27 23:44:07.419794,Trek
ad59f0f3-7ec2-455c-b67c-a9777e56d796,year,2025-04-27 23:44:17.419794,1993
ad59f0f3-7ec2-455c-b67c-a9777e56d796,mileage,2025-04-27 23:44:23.419794,88492
eda920dd-1e34-441f-a0d9-466e160c1ffc,postal_code,2025-04-27 23:43:54.419794,52578
eda920dd-1e34-441f-a0d9-466e160c1ffc,vehicle_type,2025-04-27 23:44:02.419794,Bike
eda920dd-1e34-441f-a0d9-466e160c1ffc,make,2025-04-27 23:44:11.419794,Specialized
eda920dd-1e34-441f-a0d9-466e160c1ffc,year,2025-04-27 23:44:21.419794,2023
eda920dd-1e34-441f-a0d9-466e160c1ffc,mileage,2025-04-27 23:44:27.419794,35715
eda920dd-1e34-441f-a0d9-466e160c1ffc,bike_type,2025-04-27 23:44:34.419794,Hybrid
eda920dd-1e34-441f-a0d9-466e160c1ffc,bike_repairs,2025-04-27 23:44:39.419794,Yes
eda920dd-1e34-441f-a0d9-466e160c1ffc,condition,2025-04-27 23:44:48.419794,Excellent
18d340da-d916-4cbf-91d0-57ecdf80d3aa,postal_code,2025-04-27 23:43:54.419794,84465
18d340da-d916-4cbf-91d0-57ecdf80d3aa,vehicle_type,2025-04-27 23:44:03.419794,Bike
e7d2ad8b-2b00-49f7-b987-7b620cd739e6,postal_code,2025-04-27 23:43:54.419794,90923
e7d2ad8b-2b00-49f7-b987-7b620cd739e6,vehicle_type,2025-04-27 23:44:00.419794,Truck
e7d2ad8b-2b00-49f7-b987-7b620cd739e6,make,2025-04-27 23:44:09.419794,Ford
e7d2ad8b-2b00-49f7-b987-7b620cd739e6,year,2025-04-27 23:44:14.419794,1998
c7759b02-09d8-4f58-a4bf-17dffac0916e,postal_code,2025-04-27 23:43:54.419794,49573
c7759b02-09d8-4f58-a4bf-17dffac0916e,vehicle_type,2025-04-27 23:44:01.419794,Bike
c7759b02-09d8-4f58-a4bf-17dffac0916e,make,2025-04-27 23:44:09.419794,Specialized
c7759b02-09d8-4f58-a4bf-17dffac0916e,year,2025-04-27 23:44:17.419794,2009
c7759b02-09d8-4f58-a4bf-17dffac0916e,mileage,2025-04-27 23:44:25.419794,1820
c7759b02-09d8-4f58-a4bf-17dffac0916e,bike_type,2025-04-27 23:44:32.419794,Electric Bike
c7759b02-09d8-4f58-a4bf-17dffac0916e,bike_range,2025-04-27 23:44:39.419794,92
c7759b02-09d8-4f58-a4bf-17dffac0916e,bike_repairs,2025-04-27 23:44:49.419794,No
c7759b02-09d8-4f58-a4bf-17dffac0916e,condition,2025-04-27 23:44:57.419794,Good
830ab56c-91a1-4324-99fd-3bb79527b6bc,postal_code,2025-04-27 23:43:54.419794,96167
830ab56c-91a1-4324-99fd-3bb79527b6bc,vehicle_type,2025-04-27 23:44:03.419794,Car
830ab56c-91a1-4324-99fd-3bb79527b6bc,make,2025-04-27 23:44:08.419794,BMW
830ab56c-91a1-4324-99fd-3bb79527b6bc,year,2025-04-27 23:44:18.419794,2013
830ab56c-91a1-4324-99fd-3bb79527b6bc,mileage,2025-04-27 23:44:24.419794,74521
830ab56c-91a1-4324-99fd-3bb79527b6bc,model,2025-04-27 23:44:33.419794,Model S
830ab56c-91a1-4324-99fd-3bb79527b6bc,fuel_type,2025-04-27 23:44:38.419794,Hybrid
830ab56c-91a1-4324-99fd-3bb79527b6bc,battery_health,2025-04-27 23:44:46.419794,Poor
830ab56c-91a1-4324-99fd-3bb79527b6bc,condition,2025-04-27 23:44:53.419794,Excellent
830ab56c-91a1-4324-99fd-3bb79527b6bc,email,2025-04-27 23:45:02.419794,user9712@example.com
830ab56c-91a1-4324-99fd-3bb79527b6bc,data_posted,2025-04-27 23:45:07.419794,true
955dcd8d-aa19-4b90-abab-854b466d7434,postal_code,2025-04-27 23:43:54.419794,76194
955dcd8d-aa19-4b90-abab-854b466d7434,vehicle_type,2025-04-27 23:44:01.419794,Motorcycle
955dcd8d-aa19-4b90-abab-854b466d7434,make,2025-04-27 23:44:09.419794,Ford
955dcd8d-aa19-4b90-abab-854b466d7434,year,2025-04-27 23:44:15.419794,1994
955dcd8d-aa19-4b90-abab-854b466d7434,mileage,2025-04-27 23:44:21.419794,160923
955dcd8d-aa19-4b90-abab-854b466d7434,motorcycle_style,2025-04-27 23:44:30.419794,Off-road
955dcd8d-aa19-4b90-abab-854b466d7434,repairs_accidents,2025-04-27 23:44:35.419794,Yes
955dcd8d-aa19-4b90-abab-854b466d7434,motorcycle_power,2025-04-27 23:44:45.419794,Electric
955dcd8d-aa19-4b90-abab-854b466d7434,battery_health,2025-04-27 23:44:55.419794,Good
955dcd8d-aa19-4b90-abab-854b466d7434,condition,2025-04-27 23:45:03.419794,Excellent
dea302f2-7aa5-409d-9161-2864539f32da,postal_code,2025-04-27 23:43:54.419794,65660
dea302f2-7aa5-409d-9161-2864539f32da,vehicle_type,2025-04-27 23:44:04.419794,Truck
dea302f2-7aa5-409d-9161-2864539f32da,make,2025-04-27 23:44:12.419794,Specialized
dea302f2-7aa5-409d-9161-2864539f32da,year,2025-04-27 23:44:20.419794,1998
dea302f2-7aa5-409d-9161-2864539f32da,mileage,2025-04-27 23:44:30.419794,17147
dea302f2-7aa5-409d-9161-2864539f32da,truck_type,2025-04-27 23:44:38.419794,Heavy-duty
dea302f2-7aa5-409d-9161-2864539f32da,truck_usage,2025-04-27 23:44:48.419794,Heavy-duty
dea302f2-7aa5-409d-9161-2864539f32da,condition,2025-04-27 23:44:58.419794,Needs repair
dea302f2-7aa5-409d-9161-2864539f32da,email,2025-04-27 23:45:04.419794,user6555@example.com
dea302f2-7aa5-409d-9161-2864539f32da,data_posted,2025-04-27 23:45:13.419794,true
1963d4bc-0825-426a-9082-1f590ec69453,postal_code,2025-04-27 23:43:54.419794,54117
1963d4bc-0825-426a-9082-1f590ec69453,vehicle_type,2025-04-27 23:44:03.419794,Bike
1963d4bc-0825-426a-9082-1f590ec69453,make,2025-04-27 23:44:12.419794,Ford
1963d4bc-0825-426a-9082-1f590ec69453,year,2025-04-27 23:44:17.419794,1995
1963d4bc-0825-426a-9082-1f590ec69453,mileage,2025-04-27 23:44:25.419794,191208
1963d4bc-0825-426a-9082-1f590ec69453,bike_type,2025-04-27 23:44:32.419794,Electric Bike
1963d4bc-0825-426a-9082-1f590ec69453,bike_range,2025-04-27 23:44:38.419794,61
1963d4bc-0825-426a-9082-1f590ec69453,bike_repairs,2025-04-27 23:44:45.419794,Yes
7fced4f8-fd2f-4189-93c8-49c62703e9c6,postal_code,2025-04-27 23:43:54.419794,80669
7fced4f8-fd2f-4189-93c8-49c62703e9c6,vehicle_type,2025-04-27 23:44:03.419794,Car
7fced4f8-fd2f-4189-93c8-49c62703e9c6,make,2025-04-27 23:44:13.419794,Trek
7fced4f8-fd2f-4189-93c8-49c62703e9c6,year,2025-04-27 23:44:19.419794,2012
7fced4f8-fd2f-4189-93c8-49c62703e9c6,mileage,2025-04-27 23:44:28.419794,92566
7fced4f8-fd2f-4189-93c8-49c62703e9c6,model,2025-04-27 23:44:35.419794,Model Z
7fced4f8-fd2f-4189-93c8-49c62703e9c6,fuel_type,2025-04-27 23:44:42.419794,Electric
7fced4f8-fd2f-4189-93c8-49c62703e9c6,battery_health,2025-04-27 23:44:50.419794,Good
7fced4f8-fd2f-4189-93c8-49c62703e9c6,condition,2025-04-27 23:45:00.419794,Excellent
7fced4f8-fd2f-4189-93c8-49c62703e9c6,email,2025-04-27 23:45:09.419794,user5131@example.com
7fced4f8-fd2f-4189-93c8-49c62703e9c6,data_posted,2025-04-27 23:45:17.419794,true
322a2f3d-cc3b-443e-b172-4b034c27c321,postal_code,2025-04-27 23:43:54.419794,69872
322a2f3d-cc3b-443e-b172-4b034c27c321,vehicle_type,2025-04-27 23:44:02.419794,Car
322a2f3d-cc3b-443e-b172-4b034c27c321,make,2025-04-27 23:44:08.419794,Honda
20c14b01-b34b-45a5-b575-33d7ae4bfa69,postal_code,2025-04-27 23:43:54.419794,19332
20c14b01-b34b-45a5-b575-33d7ae4bfa69,vehicle_type,2025-04-27 23:44:00.419794,Truck
20c14b01-b34b-45a5-b575-33d7ae4bfa69,make,2025-04-27 23:44:06.419794,Honda
20c14b01-b34b-45a5-b575-33d7ae4bfa69,year,2025-04-27 23:44:14.419794,1992
20c14b01-b34b-45a5-b575-33d7ae4bfa69,mileage,2025-04-27 23:44:23.419794,178453
20c14b01-b34b-45a5-b575-33d7ae4bfa69,truck_type,2025-04-27 23:44:30.419794,Commercial
20c14b01-b34b-45a5-b575-33d7ae4bfa69,truck_usage,2025-04-27 23:44:36.419794,Personal
20c14b01-b34b-45a5-b575-33d7ae4bfa69,condition,2025-04-27 23:44:46.419794,Needs repair
20c14b01-b34b-45a5-b575-33d7ae4bfa69,email,2025-04-27 23:44:53.419794,user3678@example.com
20c14b01-b34b-45a5-b575-33d7ae4bfa69,data_posted,2025-04-27 23:45:00.419794,true
fd9a8bea-6b3a-41aa-998e-0e1df9180c13,postal_code,2025-04-27 23:43:54.419794,19049
fd9a8bea-6b3a-41aa-998e-0e1df9180c13,vehicle_type,2025-04-27 23:43:59.419794,Bike
fd9a8bea-6b3a-41aa-998e-0e1df9180c13,make,2025-04-27 23:44:04.419794,Ford
fd9a8bea-6b3a-41aa-998e-0e1df9180c13,year,2025-04-27 23:44:13.419794,1999
fd9a8bea-6b3a-41aa-998e-0e1df9180c13,mileage,2025-04-27 23:44:22.419794,51151
fd9a8bea-6b3a-41aa-998e-0e1df9180c13,bike_type,2025-04-27 23:44:28.419794,Electric Bike
fd9a8bea-6b3a-41aa-998e-0e1df9180c13,bike_range,2025-04-27 23:44:38.419794,61
fd9a8bea-6b3a-41aa-998e-0e1df9180c13,bike_repairs,2025-04-27 23:44:47.419794,No
a70bebb9-67fd-419a-abfe-a6e5b7c480c0,postal_code,2025-04-27 23:43:54.419794,67856
a70bebb9-67fd-419a-abfe-a6e5b7c480c0,vehicle_type,2025-04-27 23:44:00.419794,Car
a70bebb9-67fd-419a-abfe-a6e5b7c480c0,make,2025-04-27 23:44:07.419794,Harley-Davidson
a70bebb9-67fd-419a-abfe-a6e5b7c480c0,year,2025-04-27 23:44:14.419794,1999
a70bebb9-67fd-419a-abfe-a6e5b7c480c0,mileage,2025-04-27 23:44:24.419794,195236
a70bebb9-67fd-419a-abfe-a6e5b7c480c0,model,2025-04-27 23:44:33.419794,Model S
a70bebb9-67fd-419a-abfe-a6e5b7c480c0,fuel_type,2025-04-27 23:44:41.419794,Electric
a70bebb9-67fd-419a-abfe-a6e5b7c480c0,battery_health,2025-04-27 23:44:47.419794,Good
a70bebb9-67fd-419a-abfe-a6e5b7c480c0,condition,2025-04-27 23:44:53.419794,Fair
a70bebb9-67fd-419a-abfe-a6e5b7c480c0,email,2025-04-27 23:44:59.419794,user5051@example.com
a70bebb9-67fd-419a-abfe-a6e5b7c480c0,data_posted,2025-04-27 23:45:04.419794,true
a577ca02-44b9-4dbf-85db-c97c27d8d8f6,postal_code,2025-04-27 23:43:54.419794,60514
a577ca02-44b9-4dbf-85db-c97c27d8d8f6,vehicle_type,2025-04-27 23:44:02.419794,Car
a577ca02-44b9-4dbf-85db-c97c27d8d8f6,make,2025-04-27 23:44:07.419794,Toyota
a577ca02-44b9-4dbf-85db-c97c27d8d8f6,year,2025-04-27 23:44:15.419794,2014
a577ca02-44b9-4dbf-85db-c97c27d8d8f6,mileage,2025-04-27 23:44:25.419794,43612
a577ca02-44b9-4dbf-85db-c97c27d8d8f6,model,2025-04-27 23:44:33.419794,Model Z
ef1a300c-aad7-444a-ada4-08da0c318af8,postal_code,2025-04-27 23:43:54.419794,43532
ef1a300c-aad7-444a-ada4-08da0c318af8,vehicle_type,2025-04-27 23:44:04.419794,Truck
ef1a300c-aad7-444a-ada4-08da0c318af8,make,2025-04-27 23:44:11.419794,BMW
ef1a300c-aad7-444a-ada4-08da0c318af8,year,2025-04-27 23:44:20.419794,2023
ef1a300c-aad7-444a-ada4-08da0c318af8,mileage,2025-04-27 23:44:27.419794,124304
ef1a300c-aad7-444a-ada4-08da0c318af8,truck_type,2025-04-27 23:44:36.419794,Light-duty
ef1a300c-aad7-444a-ada4-08da0c318af8,truck_usage,2025-04-27 23:44:43.419794,Personal
f2daa26f-0882-4a9a-8f68-8b2552a2baf1,postal_code,2025-04-27 23:43:54.419794,64886
f2daa26f-0882-4a9a-8f68-8b2552a2baf1,vehicle_type,2025-04-27 23:43:59.419794,Truck
f2daa26f-0882-4a9a-8f68-8b2552a2baf1,make,2025-04-27 23:44:05.419794,Toyota
f2daa26f-0882-4a9a-8f68-8b2552a2baf1,year,2025-04-27 23:44:13.419794,2016
f2daa26f-0882-4a9a-8f68-8b2552a2baf1,mileage,2025-04-27 23:44:20.419794,39713
f2daa26f-0882-4a9a-8f68-8b2552a2baf1,truck_type,2025-04-27 23:44:27.419794,Light-duty
f2daa26f-0882-4a9a-8f68-8b2552a2baf1,truck_usage,2025-04-27 23:44:36.419794,Personal
f2daa26f-0882-4a9a-8f68-8b2552a2baf1,condition,2025-04-27 23:44:44.419794,Fair
f2daa26f-0882-4a9a-8f68-8b2552a2baf1,email,2025-04-27 23:44:52.419794,user863@example.com
f2daa26f-0882-4a9a-8f68-8b2552a2baf1,data_posted,2025-04-27 23:44:57.419794,true
6f13a94c-b82d-489a-9fc8-034433e90e3f,postal_code,2025-04-27 23:43:54.419794,22120
6f13a94c-b82d-489a-9fc8-034433e90e3f,vehicle_type,2025-04-27 23:44:02.419794,Car
6f13a94c-b82d-489a-9fc8-034433e90e3f,make,2025-04-27 23:44:09.419794,BMW
6f13a94c-b82d-489a-9fc8-034433e90e3f,year,2025-04-27 23:44:18.419794,2015
e28a5130-6352-45c3-969b-fd7265ccc65d,postal_code,2025-04-27 23:43:54.419794,95768
e28a5130-6352-45c3-969b-fd7265ccc65d,vehicle_type,2025-04-27 23:44:03.419794,Truck
e28a5130-6352-45c3-969b-fd7265ccc65d,make,2025-04-27 23:44:13.419794,Ford
92dc9091-e121-4621-b21b-609067b0e40e,postal_code,2025-04-27 23:43:54.419794,36244
92dc9091-e121-4621-b21b-609067b0e40e,vehicle_type,2025-04-27 23:44:00.419794,Bike
92dc9091-e121-4621-b21b-609067b0e40e,make,2025-04-27 23:44:07.419794,BMW
92dc9091-e121-4621-b21b-609067b0e40e,year,2025-04-27 23:44:12.419794,1993
92dc9091-e121-4621-b21b-609067b0e40e,mileage,2025-04-27 23:44:20.419794,65512
92dc9091-e121-4621-b21b-609067b0e40e,bike_type,2025-04-27 23:44:28.419794,Mountain
92dc9091-e121-4621-b21b-609067b0e40e,bike_repairs,2025-04-27 23:44:33.419794,No
92dc9091-e121-4621-b21b-609067b0e40e,condition,2025-04-27 23:44:40.419794,Good
92dc9091-e121-4621-b21b-609067b0e40e,email,2025-04-27 23:44:46.419794,user8207@example.com
92dc9091-e121-4621-b21b-609067b0e40e,data_posted,2025-04-27 23:44:56.419794,true
610cab38-94fe-4d81-991e-a790eeeed696,postal_code,2025-04-27 23:43:54.419794,15731
610cab38-94fe-4d81-991e-a790eeeed696,vehicle_type,2025-04-27 23:44:03.419794,Motorcycle
